frontier_index,throughput,fidelity,latency,memory
599,5,0.7411018418833801,75.0,30.0
600,5,0.754239570662212,105.0,42.0
601,5,0.7272292682926829,60.0,24.0
602,5,0.7411018418833801,75.0,30.0
603,4,0.7593407169883716,55.0,22.0
604,5,0.7342725735906972,70.0,28.0
605,5,0.7481451471813945,85.0,34.0
606,5,0.7342725735906972,70.0,28.0
607,5,0.7481451471813945,85.0,34.0
608,5,0.7342725735906972,70.0,28.0
609,5,0.7481451471813945,85.0,34.0
610,4,0.7678773023542252,60.0,24.0
611,5,0.7411018418833801,75.0,30.0
612,5,0.7549744154740774,90.0,36.0
613,5,0.7411018418833801,75.0,30.0
614,5,0.7549744154740774,90.0,36.0
615,5,0.7411018418833801,75.0,30.0
616,5,0.7549744154740774,90.0,36.0
617,4,0.7757628779619116,85.0,34.0
618,5,0.7474103023695292,100.0,40.0
619,5,0.7612828759602265,115.0,46.0
620,5,0.7474103023695292,100.0,40.0
621,5,0.7474103023695292,100.0,40.0
622,4,0.7842994633277652,90.0,36.0
623,5,0.7542395706622121,105.0,42.0
624,5,0.7681121442529094,120.0,48.0
625,5,0.7542395706622121,105.0,42.0
626,5,0.7542395706622121,105.0,42.0
627,4,0.7419999999999999,40.0,16.0
628,5,0.7203999999999999,55.0,22.0
629,5,0.7342725735906972,70.0,28.0
630,5,0.7203999999999999,55.0,22.0
631,5,0.7342725735906972,70.0,28.0
632,5,0.7474103023695291,100.0,40.0
633,5,0.7203999999999999,55.0,22.0
634,5,0.7342725735906972,70.0,28.0
635,4,0.7505365853658535,45.0,18.0
636,5,0.7272292682926829,60.0,24.0
637,5,0.7411018418833801,75.0,30.0
638,5,0.7272292682926829,60.0,24.0
639,5,0.7411018418833801,75.0,30.0
640,5,0.754239570662212,105.0,42.0
641,5,0.7272292682926829,60.0,24.0
642,5,0.7411018418833801,75.0,30.0
643,4,0.7593407169883716,55.0,22.0
644,5,0.7342725735906972,70.0,28.0
645,5,0.7481451471813945,85.0,34.0
646,5,0.7342725735906972,70.0,28.0
647,5,0.7481451471813945,85.0,34.0
648,5,0.7342725735906972,70.0,28.0
649,5,0.7481451471813945,85.0,34.0
650,4,0.7678773023542252,60.0,24.0
651,5,0.7411018418833801,75.0,30.0
652,5,0.7549744154740774,90.0,36.0
653,5,0.7411018418833801,75.0,30.0
654,5,0.7549744154740774,90.0,36.0
655,5,0.7411018418833801,75.0,30.0
656,5,0.7549744154740774,90.0,36.0
657,4,0.7757628779619116,85.0,34.0
658,5,0.7474103023695292,100.0,40.0
659,5,0.7612828759602265,115.0,46.0
660,5,0.7474103023695292,100.0,40.0
