n_requests,sigma,policy,eps,n_variables,n_bundles_in,n_selected,param_utility,e_utility,reliability_gap,served_ratio,sla_violation_prob,e_delivered_fidelity,exact_time_s,gap_vs_exact
6,0.05,nominal,1.0,18,18,6,178.62884428034653,326.28870241645103,-147.6598581361045,0.8833333333333333,0.27358490566037735,0.6193120456768962,0.0016008219990908401,nan
6,0.05,chance_qubo,0.2,14,14,4,37.6114951931861,90.53028567687154,-52.91879048368544,0.4875,0.08974358974358974,0.6941772374333179,0.0013876899993192637,0.6065510018208236
6,0.05,hard,0.0,13,13,4,26.317120184613742,78.6400405752652,-52.32292039065146,0.6,0.19791666666666666,0.626874381897345,0.0013651700010086643,nan
6,0.05,chance,0.05,7,7,2,8.659004893671504,14.675636287234784,-6.01663139356328,0.5875,0.0,0.7032163430201589,0.0014295789987954777,nan
6,0.05,chance,0.1,8,8,2,8.659004893671504,14.675636287234784,-6.01663139356328,0.5875,0.0,0.7032163430201589,0.0017863260000012815,nan
6,0.05,chance,0.2,9,9,2,16.99519164161562,31.129701793353387,-14.134510151737768,0.9,0.08333333333333333,0.6411374079041761,0.0011005879987351364,nan
6,0.05,chance,0.35,10,10,2,16.99519164161562,31.129701793353387,-14.134510151737768,0.9,0.08333333333333333,0.6411374079041761,0.001602406999154482,nan
6,0.05,chance,0.5,13,13,4,26.317120184613742,78.6400405752652,-52.32292039065146,0.6,0.19791666666666666,0.626874381897345,0.001159453000582289,nan
6,0.05,chance,0.65,13,13,4,26.317120184613742,78.6400405752652,-52.32292039065146,0.6,0.19791666666666666,0.626874381897345,0.0011737229997379472,nan
6,0.05,chance,0.8,13,13,4,26.317120184613742,78.6400405752652,-52.32292039065146,0.6,0.19791666666666666,0.626874381897345,0.0012425130007613916,nan
6,0.05,nominal,1.0,18,18,6,111.42358305260912,252.34715175138663,-140.9235686987775,0.8625,0.6473429951690821,0.5577760739831218,0.001603934000740992,nan
6,0.05,chance_qubo,0.2,9,9,1,-1.275961717731456,-30.767660237997926,29.49169852026647,0.075,0.3333333333333333,0.6382813040688309,0.0013582270003098529,1.0750778069843618
10,0.03,hard,0.0,27,27,9,370.38718701342634,505.83397904411396,-135.44679203068756,0.9333333333333333,0.03869047619047619,0.8091622768908776,0.0013469370005623205,nan
10,0.03,chance,0.05,25,25,9,364.70867166740493,501.7513422072696,-137.04267053986462,0.9,0.009259259259259259,0.8163366391973654,0.0018621409999468597,nan
10,0.03,chance,0.1,25,25,9,364.70867166740493,501.7513422072696,-137.04267053986462,0.9,0.009259259259259259,0.8163366391973654,0.0013255579997348832,nan
10,0.03,chance,0.2,27,27,9,370.38718701342634,505.83397904411396,-135.44679203068756,0.9333333333333333,0.03869047619047619,0.8091622768908776,0.0019103630002064165,nan
10,0.03,chance,0.35,27,27,9,370.38718701342634,505.83397904411396,-135.44679203068756,0.9333333333333333,0.03869047619047619,0.8091622768908776,0.0014613599996664561,nan
10,0.03,chance,0.5,27,27,9,370.38718701342634,505.83397904411396,-135.44679203068756,0.9333333333333333,0.03869047619047619,0.8091622768908776,0.001303733999520773,nan
10,0.03,chance,0.65,27,27,9,370.38718701342634,505.83397904411396,-135.44679203068756,0.9333333333333333,0.03869047619047619,0.8091622768908776,0.0019261380002717488,nan
10,0.03,chance,0.8,28,28,9,398.41451700540404,534.5039674140014,-136.08945040859732,0.9722222222222222,0.09714285714285714,0.7945862361656983,0.0023156860006565694,nan
10,0.03,nominal,1.0,30,30,10,404.0921525351797,550.7442871791845,-146.65213464400478,0.965,0.18393782383419688,0.7709624588922102,0.0024022830002650153,nan
10,0.03,chance_qubo,0.2,27,27,4,87.24535085393501,62.526579738891336,24.718771115043673,0.58125,0.0,0.8649438360810527,0.0020617720001609996,0.7644482479066631
10,0.03,hard,0.0,17,17,5,132.87955258710227,229.8796698804252,-97.00011729332294,0.845,0.029585798816568046,0.6846282953384264,0.0019786269986070693,nan
10,0.03,chance,0.05,15,15,5,131.80441516569047,225.41111753307808,-93.60670236738761,0.805,0.006211180124223602,0.673913043227984,0.001724577999993926,nan
10,0.03,chance,0.1,15,15,5,131.80441516569047,225.41111753307808,-93.60670236738761,0.805,0.006211180124223602,0.673913043227984,0.001861368999016122,nan
10,0.03,chance,0.2,17,17,5,132.87955258710227,229.8796698804252,-97.00011729332294,0.845,0.029585798816568046,0.6846282953384264,0.002473902000929229,nan
10,0.03,chance,0.35,17,17,5,132.87955258710227,229.8796698804252,-97.00011729332294,0.845,0.029585798816568046,0.6846282953384264,0.006160782999359071,nan
