topology,instance,instance_seed,solver_seed,n_requests,n_bundles,bqm_variables,sampler,calibration,coefficient_scale,A,B,C,D,E,B_ratio,D_ratio,B_tighter,D_tighter,oracle_utility,oracle_optimal,oracle_status,compile_time_s,sample_time_s,n_reads,raw_feasible_rate,raw_mean_request_conflicts,raw_mean_edge_violations,raw_mean_memory_violations,raw_mean_violation_count,raw_mean_overload_units,raw_best_feasible_utility,repaired_best_utility,found_feasible,raw_optimality_gap_pct,repaired_optimality_gap_pct
chain8_c4,n8,39,303,8,18,64,sqa,resource_aware,1.0,66.51110172628738,54.72543828483283,0.0,66.51110172628738,0.0,0.8228015604078249,1.0,True,False,241.7069095849446,True,OPTIMAL,0.0061634170124307275,8.201702582999133,100,0.0,2.0,0.0,0.0,2.0,0.0,nan,202.0194990204476,False,nan,16.41964254668914
chain8_c4,n8,39,404,8,18,64,sqa,resource_aware,1.0,66.51110172628738,54.72543828483283,0.0,66.51110172628738,0.0,0.8228015604078249,1.0,True,False,241.7069095849446,True,OPTIMAL,0.0061634170124307275,7.595886541996151,100,1.0,0.0,0.0,0.0,0.0,0.0,161.8634409315827,161.8634409315827,True,33.03317591974011,33.03317591974011
chain8_c4,n8,39,505,8,18,64,sqa,resource_aware,1.0,66.51110172628738,54.72543828483283,0.0,66.51110172628738,0.0,0.8228015604078249,1.0,True,False,241.7069095849446,True,OPTIMAL,0.0061634170124307275,7.525755875045434,100,0.0,1.0,0.0,0.0,1.0,0.0,nan,230.95109665472154,False,nan,4.449940197693476
chain8_c4,n8,42,101,8,13,52,sa,conventional,1.0,92.96258590978094,92.96258590978094,0.0,92.96258590978094,0.0,0.706989052163495,1.0,True,False,265.65114279375825,True,OPTIMAL,0.00141737493686378,0.08097937505226582,100,1.0,0.0,0.0,0.0,0.0,0.0,219.7502722204831,219.75027222048308,True,17.27862718396468,17.27862718396469
chain8_c4,n8,42,202,8,13,52,sa,conventional,1.0,92.96258590978094,92.96258590978094,0.0,92.96258590978094,0.0,0.706989052163495,1.0,True,False,265.65114279375825,True,OPTIMAL,0.00141737493686378,0.06575054093264043,100,1.0,0.0,0.0,0.0,0.0,0.0,48.77219506482006,48.77219506482006,True,81.64050997413364,81.64050997413364
chain8_c4,n8,42,303,8,13,52,sa,conventional,1.0,92.96258590978094,92.96258590978094,0.0,92.96258590978094,0.0,0.706989052163495,1.0,True,False,265.65114279375825,True,OPTIMAL,0.00141737493686378,0.06039479200262576,100,1.0,0.0,0.0,0.0,0.0,0.0,108.42162152459989,108.42162152459989,True,59.1864652324216,59.1864652324216
chain8_c4,n8,42,404,8,13,52,sa,conventional,1.0,92.96258590978094,92.96258590978094,0.0,92.96258590978094,0.0,0.706989052163495,1.0,True,False,265.65114279375825,True,OPTIMAL,0.00141737493686378,0.06525879190303385,100,0.0,0.0,1.0,1.0,2.0,4.0,nan,86.32823396873171,False,nan,67.5031573134418
chain8_c4,n8,42,505,8,13,52,sa,conventional,1.0,92.96258590978094,92.96258590978094,0.0,92.96258590978094,0.0,0.706989052163495,1.0,True,False,265.65114279375825,True,OPTIMAL,0.00141737493686378,0.06140695803333074,100,1.0,0.0,0.0,0.0,0.0,0.0,108.42162152459989,108.42162152459989,True,59.1864652324216,59.1864652324216
chain8_c4,n8,42,101,8,13,52,sqa,conventional,1.0,92.96258590978094,92.96258590978094,0.0,92.96258590978094,0.0,0.706989052163495,1.0,True,False,265.65114279375825,True,OPTIMAL,0.00141737493686378,10.67437433404848,100,0.0,1.0,0.0,0.0,1.0,0.0,nan,241.64038950743355,False,nan,9.038452849783432
chain8_c4,n8,42,202,8,13,52,sqa,conventional,1.0,92.96258590978094,92.96258590978094,0.0,92.96258590978094,0.0,0.706989052163495,1.0,True,False,265.65114279375825,True,OPTIMAL,0.00141737493686378,10.115235917037353,100,1.0,0.0,0.0,0.0,0.0,0.0,241.64038950743355,241.64038950743355,True,9.038452849783432,9.038452849783432
chain8_c4,n8,42,303,8,13,52,sqa,conventional,1.0,92.96258590978094,92.96258590978094,0.0,92.96258590978094,0.0,0.706989052163495,1.0,True,False,265.65114279375825,True,OPTIMAL,0.00141737493686378,9.505381042021327,100,0.0,1.0,0.0,0.0,1.0,0.0,nan,242.30052871879292,False,nan,8.789954309774563
chain8_c4,n8,42,404,8,13,52,sqa,conventional,1.0,92.96258590978094,92.96258590978094,0.0,92.96258590978094,0.0,0.706989052163495,1.0,True,False,265.65114279375825,True,OPTIMAL,0.00141737493686378,8.192812166991644,100,0.0,1.0,0.0,0.0,1.0,0.0,nan,241.64038950743355,False,nan,9.038452849783432
chain8_c4,n8,42,505,8,13,52,sqa,conventional,1.0,92.96258590978094,92.96258590978094,0.0,92.96258590978094,0.0,0.706989052163495,1.0,True,False,265.65114279375825,True,OPTIMAL,0.00141737493686378,7.775250041973777,100,0.0,1.0,0.0,0.0,1.0,0.0,nan,204.66060493350156,False,nan,22.958884053289204
chain8_c4,n8,42,101,8,13,52,sa,resource_aware,1.0,92.96258590978094,65.7235304990235,0.0,92.96258590978094,0.0,0.706989052163495,1.0,True,False,265.65114279375825,True,OPTIMAL,0.0025282090064138174,0.06613137503154576,100,1.0,0.0,0.0,0.0,0.0,0.0,219.7502722204831,219.75027222048308,True,17.27862718396468,17.27862718396469
chain8_c4,n8,42,202,8,13,52,sa,resource_aware,1.0,92.96258590978094,65.7235304990235,0.0,92.96258590978094,0.0,0.706989052163495,1.0,True,False,265.65114279375825,True,OPTIMAL,0.0025282090064138174,0.06062091700732708,100,0.0,0.0,1.0,1.0,2.0,2.0,nan,108.87849046704153,False,nan,59.01448443925168
chain8_c4,n8,42,303,8,13,52,sa,resource_aware,1.0,92.96258590978094,65.7235304990235,0.0,92.96258590978094,0.0,0.706989052163495,1.0,True,False,265.65114279375825,True,OPTIMAL,0.0025282090064138174,0.060396125074476004,100,1.0,0.0,0.0,0.0,0.0,0.0,108.42162152459989,108.42162152459989,True,59.1864652324216,59.1864652324216
chain8_c4,n8,42,404,8,13,52,sa,resource_aware,1.0,92.96258590978094,65.7235304990235,0.0,92.96258590978094,0.0,0.706989052163495,1.0,True,False,265.65114279375825,True,OPTIMAL,0.0025282090064138174,0.05645920895040035,100,0.0,1.0,2.0,1.0,4.0,6.0,nan,112.67517166948802,False,nan,57.58528629520527
chain8_c4,n8,42,505,8,13,52,sa,resource_aware,1.0,92.96258590978094,65.7235304990235,0.0,92.96258590978094,0.0,0.706989052163495,1.0,True,False,265.65114279375825,True,OPTIMAL,0.0025282090064138174,0.05021387501619756,100,1.0,0.0,0.0,0.0,0.0,0.0,15.459128577311894,15.459128577311894,True,94.18066550938433,94.18066550938433
